timestamp,latency_ms,prompt_length
1763437139.9520752,2653.17,33
1763437142.4079173,2455.56,41
1763437144.568864,2160.73,34
1763437146.84013,2271.11,38
1763437149.0929544,2252.53,27
1763437151.5075426,2414.38,25
1763437154.3394883,2831.61,23
1763437156.5677984,2227.92,20
1763437160.1608226,3592.81,33
1763437162.8937712,2732.44,41
1763437165.4213212,2527.14,34
1763437168.1370184,2715.25,38
1763437171.2297635,3092.26,27
1763437174.5282946,3298.12,25
1763437178.0978587,3569.13,23
1763437180.8144026,2716.06,20
1763437181.5932963,778.48,33
1763437184.596036,3002.44,41
1763437187.4386225,2842.11,34
1763437190.7664447,3327.2,38
