timestamp,latency_ms,prompt_length
1763440563.4860775,70723.26,33
1763440633.9129264,70425.64,41
1763440690.375493,56461.84,34
1763440756.4909012,66114.3,38
1763440831.2989538,74804.94,27
1763440883.8881247,52587.74,25
1763440932.1822298,48292.99,23
1763440987.212025,55027.58,20
1763441058.204956,70992.07,33
1763441101.7784343,43572.5,41
1763441145.7994962,44020.32,34
1763441198.1080992,52307.76,38
1763441251.505697,53396.71,27
1763441303.879622,52372.62,25
1763441358.91302,55031.92,23
1763441452.7060173,93792.14,20
1763441529.8931193,77185.47,33
1763441593.9891222,64095.07,41
1763441662.180096,68189.21,34
1763441743.702732,81518.9,38
