timestamp,latency_ms,prompt_length
1763464440.8322394,105054.65,33
1763464498.2266066,53262.14,41
1763464548.9977763,47682.57,34
1763464608.1853685,57154.39,38
1763464652.6103904,42845.83,27
1763464705.4953086,50348.24,25
1763464737.697689,30181.67,23
1763464787.7066453,49997.53,20
1763464825.3142679,35543.24,33
1763464868.317051,42995.01,41
1763464919.7880197,49954.04,34
1763464958.320173,36487.01,38
1763464993.476444,32591.18,27
1763465038.6211932,42972.12,25
1763465060.3797603,21229.65,23
1763465087.4876196,24527.38,20
1763465110.8103929,21769.09,33
1763465133.817032,20875.51,41
1763465209.497496,73100.27,34
1763465243.5132997,33482.82,38
